"Title","Profit","Year","audienceScore","tomatoMeter","Rating"
"Bourne Ultimatum",444100035,2007,91,92,"PG-13"
"Men in Black II",445135288,2002,45,38,"PG-13"
"Tarzan",448191819,1999,75,89,"G"
"Pearl Harbor",449220945,2001,66,24,"PG-13"
"Thor",449326618,2011,76,77,"PG-13"
"Ocean's Eleven",450717150,2001,80,83,"PG-13"
"Dying to Survive",451183391,2018,92,86,""
"Demon Slayer the Movie: Mugen Train",453210959,2020,99,98,"R"
"Last Samurai",454627263,2003,83,66,"R"
"300",456082343,2007,89,61,"R"
"Mission: Impossible",457696391,1996,71,66,"PG-13"
"National Treasure: Book of Secrets",459242249,2007,67,36,"PG"
"X Men 3: The Last Stand",460435291,2006,61,57,"PG-13"
"The Eight Hundred",461421559,2020,76,88,""
"Cars",461991867,2006,79,74,"G"
"Pretty Woman",463406268,1990,68,66,"R"
"Gladiator",465380802,2000,87,79,"R"
"The Matrix",467222728,1999,85,88,"R"
"Star Trek Into Darkness",467365246,2013,89,84,"PG-13"
"Bumblebee",467989645,2018,74,91,"PG-13"
"The Lego Movie",468266122,2014,87,96,"PG"
"Lucy",469058574,2014,47,66,"R"
"The Hangover",469328079,2009,84,79,"R"
"Godzilla vs. Kong",470067014,2021,91,75,"PG-13"
"Wreck It Ralph",471222889,2012,86,87,"PG"
"La La Land",471227161,2016,81,91,"PG-13"
"It Chapter Two",473122525,2019,78,62,"R"
"San Andreas",474009154,2015,52,48,"PG-13"
"Indiana Jones and the Last Crusade",474171806,1989,94,88,"PG-13"
"Charlie and the Chocolate Factory",474968763,2005,51,83,"PG"
"Star Wars: Episode VI - Return of the Jedi",475106177,1983,94,83,"PG"
"Hotel Transylvania 2",475186706,2015,63,55,"PG"
"Jaws",476512065,1975,90,97,"PG"
"Home Alone",476684675,1990,80,66,"PG"
"Rise of the Planet of the Apes",481800873,2011,77,82,"PG-13"
"Saving Private Ryan",482349603,1998,95,94,"R"
"Rio",483866518,2011,71,72,"G"
"Bruce Almighty",484592874,2003,57,48,"PG-13"
"Teenage Mutant Ninja Turtles",485004754,2014,60,35,"PG"
"Angels & Demons",485930816,2009,57,37,"PG-13"
"Mr. & Mrs. Smith",487287646,2005,58,59,"PG-13"
"Shrek",488351320,2001,90,88,"PG"
"War for the Planet of the Apes",490719763,2017,84,94,"PG-13"
"Maleficent: Mistress of Evil",491730089,2019,95,39,"PG"
"Clash of the Titans",493214993,2010,70,63,"PG"
"Oz the Great and Powerful",493311825,2013,56,56,"PG"
"Twister",494580615,1996,58,63,"PG-13"
"How to Train Your Dragon",494879471,2010,91,99,"PG"
"Toy Story 2",497375381,1999,87,100,"G"
"Troy",497409852,2004,73,53,"R"
"Rio 2",498781117,2014,58,48,"G"
"Aladdin",504050219,1992,94,57,"PG"
"Ghost",505703557,1990,80,75,"PG-13"
"Venom: Let There Be Carnage",506863592,2021,84,57,"PG-13"
"The Grinch",513540357,2018,51,59,"PG"
"Ant-Man",519311965,2015,85,83,"PG-13"
"Terminator 2: Judgment Day",520881154,1991,95,93,"R"
"Kung Fu Panda 3",521170825,2016,78,86,"PG"
"WALL E",521311890,2008,90,95,"G"
"Meet the Fockers",522657936,2004,58,38,"PG-13"
"Sherlock Holmes",524028679,2009,77,69,"PG-13"
"How to Train Your Dragon: The Hidden World",524580592,2019,86,90,"PG"
"Godzilla",524976069,2014,28,16,"PG-13"
"Dunkirk",527016307,2017,71,60,""
"The Boss Baby",527965936,2017,51,53,"PG"
"Hotel Transylvania 3: Summer Vacation",528583774,2018,48,62,"PG"
"Ralph Breaks the Internet",529323962,2018,64,88,"PG"
"The Meg",530517320,2018,42,46,"PG-13"
"The Revenant 2015",532950503,2015,84,78,"R"
"Simpsons Movie",536414293,2007,77,87,"PG-13"
"Star Wars: The Empire Strikes Back",538375067,1980,97,94,"PG"
"Brave",538983207,2012,75,79,"PG"
"World War Z",540455876,2013,72,66,"PG-13"
"Madagascar",542063846,2005,66,55,"PG"
"Cinderella",542358331,2015,80,97,"G"
"Despicable Me",543157985,2010,83,80,"PG"
"Sherlock Holmes: A Game of Shadows",543848418,2011,77,59,"PG-13"
"X Men: Apocalypse",543934105,2016,65,47,"PG-13"
"Detective Chinatown 2",544185156,2018,66,54,"R"
"Mission: Impossible II",546388108,2000,42,56,"PG-13"
"American Sniper",547459020,2014,84,72,"R"
"Ted",549368315,2012,73,69,"R"
"Day After Tomorrow",552639571,2004,50,45,"PG-13"
"Armageddon",553709788,1998,73,37,"PG-13"
"The Mermaid",553810228,2016,60,95,"R"
"Puss in Boots",554987477,2011,67,86,"PG"
"King Kong",556906378,2005,50,84,"PG-13"
"Cars 2",559852396,2011,49,39,"G"
"The Smurfs",563749323,2011,43,21,"PG"
"Kong: Skull Island",566652812,2017,69,75,"PG-13"
"Fifty Shades of Grey",569651467,2015,41,24,"R"
"Night at the Museum",574481229,2006,67,43,"PG"
"Operation Red Sea",579330426,2018,64,80,""
"Monsters, Inc.",579707738,2001,90,96,"G"
"Ready Player One",582918849,2018,77,72,"PG-13"
"I Am Legend",585410052,2007,68,68,"PG-13"
"Iron Man",585796247,2008,91,94,"PG-13"
"The Hangover Part II",586764305,2011,52,34,"R"
